id	target	response	HumanPartialFinal	question
43	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
44	Functions to extend the foot at the ankle	functions to extend the foot at the ankle	1	The Gastrocnemius Muscle
45	Functions to extend the thigh at the hip	functions to extend the thigh away from the pelvis	0.5	The Gluteus Maximus Muscle
46	Functions to extend the foot at the ankle	functions to extend the foot away from the ankle	1	The Gastrocnemius Muscle
47	Is stimulated by the tibial nerve	stimulated by the tidial nerve	1	The Gastrocnemius Muscle
48	Is stimulated by the axillary nerve	empty	0	The Deltoid Muscle
49	Is stimulated by the radial nerve	empty	0	The Triceps Muscle
50	Is stimulated by the axillary nerve	Stimulated by axuillary nerces	1	The Deltoid Muscle
51	Is stimulated by the radial nerve	Stimulated by 	0	The Triceps Muscle
52	Is stimulated by the axillary nerve	Stimulated by auxillary nerves	1	The Deltoid Muscle
53	Is stimulated by the radial nerve	Stimulated by the radius	0	The Triceps Muscle
54	Is stimulated by the axillary nerve	Stimulated by 	0	The Deltoid Muscle
55	Is stimulated by the radial nerve	Stimulate by the radial muscles	0.5	The Triceps Muscle
56	Is stimulated by the radial nerve	Stimulated by the radial nerves	1	The Triceps Muscle
57	Is stimulated by the radial nerve	Stimulated by the radial nerves	1	The Triceps Muscle
58	Is stimulated by the radial nerve	Stimulated by the radial nerves	1	The Triceps Muscle
59	Functions to extend the thigh at the hip	Functions to extend the thighs	0.5	The Gluteus Maximus Muscle
60	Is stimulated by the femoral nerve	Stimulated by	0	The Quadriceps Muscles
61	Functions to extend the foot at the ankle	Stimulated by	0	The Gastrocnemius Muscle
62	Is stimulated by the tibial nerve	Stimulated by	0	The Gastrocnemius Muscle
63	Functions to extend the thigh at the hip	Functions to extend the thigh from the pelvis at the hip	1	The Gluteus Maximus Muscle
64	Is stimulated by the femoral nerve	Stimulated by the tibulus	0	The Quadriceps Muscles
65	Functions to extend the foot at the ankle	Functions to extend the thigh from the knee	0	The Gastrocnemius Muscle
66	Is stimulated by the tibial nerve	Stimulated by the tibulus	0	The Gastrocnemius Muscle
67	Functions to extend the thigh at the hip	Functions to extend the pelvis to the thights	0	The Gluteus Maximus Muscle
68	Is stimulated by the femoral nerve	Stimulated by the fermal nerves	0.5	The Quadriceps Muscles
69	Is stimulated by the tibial nerve	Stimulated by the tiberial nerve	0	The Gastrocnemius Muscle
70	Functions to extend the foot at the ankle	Functions to extend the foot at the ankle	1	The Gastrocnemius Muscle
71	Functions to extend the thigh at the hip	Functions to extend the pelvis to the thigh	0	The Gluteus Maximus Muscle
72	Is stimulated by the femoral nerve	Stimulated by the fermeral nerves	1	The Quadriceps Muscles
73	Functions to extend the foot at the ankle	Functions to flex the foot at the anckle	1	The Gastrocnemius Muscle
74	Is stimulated by the tibial nerve	Stimulated by the tiberial nerve	0	The Gastrocnemius Muscle
75	Is stimulated by the femoral nerve	Stimulated by the formoral nerves	1	The Quadriceps Muscles
76	Functions to extend the foot at the ankle	Functions to extend the foot at the anckle	1	The Gastrocnemius Muscle
77	Is stimulated by the tibial nerve	Stimulated by the tiberial nerve	0	The Gastrocnemius Muscle
78	Is stimulated by the femoral nerve	Stimulated by fermoral nevers	1	The Quadriceps Muscles
79	Is stimulated by the femoral nerve	Stimulated by the fermoral nerves	1	The Quadriceps Muscles
80	Is stimulated by the femoral nerve	Stimulated by the fermoral nerves	1	The Quadriceps Muscles
81	Is stimulated by the axillary nerve	the axillary nerve	0.5	The Deltoid Muscle
82	Is stimulated by the radial nerve	the radial nerve	0.5	The Triceps Muscle
83	Is stimulated by the axillary nerve	is stimulated by the axillary nerve	1	The Deltoid Muscle
84	Is stimulated by the radial nerve	is stumulated by the radial nerve	1	The Triceps Muscle
85	Is stimulated by the axillary nerve	stimulated by the axillary nerve	1	The Deltoid Muscle
86	Is stimulated by the radial nerve	is stimulated by the radial nerve	1	The Triceps Muscle
87	Is stimulated by the axillary nerve	is stimulated by the axillary nerve	1	The Deltoid Muscle
88	Is stimulated by the radial nerve	is stimulated by the radial nerve	1	The Triceps Muscle
89	Functions to extend the thigh at the hip	is to extend the thigh of the leg at the pelvis	1	The Gluteus Maximus Muscle
90	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
91	Functions to extend the foot at the ankle	is to flex the foot at the ankle	1	The Gastrocnemius Muscle
92	Is stimulated by the tibial nerve	is stimulated by the tibial nerve	1	The Gastrocnemius Muscle
93	Functions to extend the thigh at the hip	is to extend the leg away from the body at the pelvis	0.5	The Gluteus Maximus Muscle
94	Is stimulated by the femoral nerve	is stimulated by the femoral nerve	1	The Quadriceps Muscles
95	Functions to extend the foot at the ankle	main function is to extend the foot at the ankle	1	The Gastrocnemius Muscle
96	Is stimulated by the tibial nerve	is stimulated by the tibial nerve	1	The Gastrocnemius Muscle
97	Functions to extend the thigh at the hip	main function is to extend the leg at the pelvis	0.5	The Gluteus Maximus Muscle
98	Is stimulated by the femoral nerve	is stimulated by the femoral nerve	1	The Quadriceps Muscles
99	Is stimulated by the tibial nerve	is stimulated by the tibial nerve	1	The Gastrocnemius Muscle
100	Functions to extend the foot at the ankle	main function is to extend to foot at the ankle	1	The Gastrocnemius Muscle
101	Functions to extend the foot at the ankle	main function is to extend the foot at the ankle	1	The Gastrocnemius Muscle
102	Is stimulated by the axillary nerve	is triggered by the auxillary nerve	1	The Deltoid Muscle
103	Is stimulated by the radial nerve	is triggered by the radial nerve	1	The Triceps Muscle
104	Is stimulated by the axillary nerve	is stimulated by the radial nerve	0	The Deltoid Muscle
105	Is stimulated by the radial nerve	is stimulated by radial nerve	1	The Triceps Muscle
106	Is stimulated by the axillary nerve	is stimulated by the axillary nerve	1	The Deltoid Muscle
107	Is stimulated by the radial nerve	is stimulated by the radial nerve	1	The Triceps Muscle
108	Is stimulated by the axillary nerve	is stimulated by the axial nerve	0.5	The Deltoid Muscle
109	Is stimulated by the radial nerve	is stimulated by the radial nerve	1	The Triceps Muscle
110	Is stimulated by the axillary nerve	is caused by axial nerve	0.5	The Deltoid Muscle
111	Functions to extend the thigh at the hip	functions to move the thigh away from the hip	1	The Gluteus Maximus Muscle
112	Is stimulated by the femoral nerve	empty	0	The Quadriceps Muscles
113	Functions to extend the foot at the ankle	function to move the foot away form the ankle	1	The Gastrocnemius Muscle
114	Is stimulated by the tibial nerve	stiumulated by the tibial nerve	1	The Gastrocnemius Muscle
115	Functions to extend the thigh at the hip	functions to extend the thigh from the hip	1	The Gluteus Maximus Muscle
116	Is stimulated by the femoral nerve	is triggered by the femoral nerve	1	The Quadriceps Muscles
117	Is stimulated by the tibial nerve	 is triggered by the libial nerve	0	The Gastrocnemius Muscle
118	Functions to extend the foot at the ankle	functions to extend the foot away form ankle	1	The Gastrocnemius Muscle
119	Functions to extend the thigh at the hip	functions to extend the thigh at the hip	1	The Gluteus Maximus Muscle
120	Is stimulated by the femoral nerve	is stimulated by the femoral nerve	1	The Quadriceps Muscles
121	Is stimulated by the tibial nerve	is stimulated by the bilial nerve	0	The Gastrocnemius Muscle
122	Functions to extend the foot at the ankle	functions to extend the foot at the ankle	1	The Gastrocnemius Muscle
123	Functions to extend the thigh at the hip	functions to extend the thigh at the pelvis	0.5	The Gluteus Maximus Muscle
124	Is stimulated by the femoral nerve	is stimulated by the femoral nerve	1	The Quadriceps Muscles
125	Functions to extend the foot at the ankle	functions to extend the foot at the ankle	1	The Gastrocnemius Muscle
126	Is stimulated by the femoral nerve	is stimulated by the femoral nerve	1	The Quadriceps Muscles
127	Is stimulated by the axillary nerve	axial nerve makes it move	0	The Deltoid Muscle
128	Is stimulated by the radial nerve	axial nerve	0	The Triceps Muscle
129	Is stimulated by the axillary nerve	stimulated by the axillary nerves	1	The Deltoid Muscle
130	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
131	Is stimulated by the axillary nerve	stimulated by the axillary nerve	1	The Deltoid Muscle
132	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
133	Is stimulated by the axillary nerve	stimulated by the axilary nerve	1	The Deltoid Muscle
134	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
135	Functions to extend the thigh at the hip	to move the leg at the pelvis	0.5	The Gluteus Maximus Muscle
136	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
137	Is stimulated by the tibial nerve	stimulated but tibular nerve	0	The Gastrocnemius Muscle
138	Functions to extend the foot at the ankle	to flex the ankle	0	The Gastrocnemius Muscle
139	Functions to extend the thigh at the hip	to extend the thigh at the hip	1	The Gluteus Maximus Muscle
140	Is stimulated by the femoral nerve	stimulated by the femurial nerve	1	The Quadriceps Muscles
141	Functions to extend the foot at the ankle	to extend the foot at the ankle	1	The Gastrocnemius Muscle
142	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
143	Functions to extend the thigh at the hip	to move the leg at the hip	0.5	The Gluteus Maximus Muscle
144	Is stimulated by the femoral nerve	stimulated by the femural nerve	1	The Quadriceps Muscles
145	Functions to extend the foot at the ankle	to extend the foot at the ankle	1	The Gastrocnemius Muscle
146	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
147	Functions to extend the thigh at the hip	to move the leg at the hip	0.5	The Gluteus Maximus Muscle
148	Functions to extend the foot at the ankle	to flex the foot at the ankle	1	The Gastrocnemius Muscle
149	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
150	Is stimulated by the axillary nerve	stimulated by the axillary nerve	1	The Deltoid Muscle
151	Is stimulated by the radial nerve	stimulated by radial nerve	1	The Triceps Muscle
152	Is stimulated by the axillary nerve	connects bone on the back of the shoulder	0	The Deltoid Muscle
153	Is stimulated by the radial nerve	empty	0	The Triceps Muscle
154	Is stimulated by the axillary nerve	stimluated by axillary nerves	1	The Deltoid Muscle
155	Is stimulated by the radial nerve	stimluated at radial nerve	1	The Triceps Muscle
156	Functions to extend the thigh at the hip	to extend the pelvis at the hip	0	The Gluteus Maximus Muscle
157	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
158	Functions to extend the foot at the ankle	to extend foot	0.5	The Gastrocnemius Muscle
159	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
160	Functions to extend the thigh at the hip	extend thigh at the hip	1	The Gluteus Maximus Muscle
161	Is stimulated by the femoral nerve	stimulted by femoral nerve	1	The Quadriceps Muscles
162	Is stimulated by the tibial nerve	stimulated by tibal nerve	1	The Gastrocnemius Muscle
163	Functions to extend the foot at the ankle	to extend foot at ankle	1	The Gastrocnemius Muscle
164	Functions to extend the thigh at the hip	to extend hip at thigh	0	The Gluteus Maximus Muscle
165	Is stimulated by the femoral nerve	stimluated by femroal nerve	1	The Quadriceps Muscles
166	Functions to extend the foot at the ankle	to extnd foot at ankle	1	The Gastrocnemius Muscle
167	Is stimulated by the tibial nerve	stimulated by tibial nerve	1	The Gastrocnemius Muscle
168	Functions to extend the thigh at the hip	extend thigh at hip	1	The Gluteus Maximus Muscle
169	Functions to extend the foot at the ankle	to extend lower leg	0	The Gastrocnemius Muscle
170	Is stimulated by the axillary nerve	Auxillary nerve	0.5	The Deltoid Muscle
171	Is stimulated by the radial nerve	Radial nerve	0.5	The Triceps Muscle
172	Is stimulated by the axillary nerve	It is stimulated by the auxillary nerve	1	The Deltoid Muscle
173	Is stimulated by the radial nerve	It is stimulated by the radial nerve	1	The Triceps Muscle
174	Is stimulated by the axillary nerve	Stimulated by the auxillary nerve	1	The Deltoid Muscle
175	Is stimulated by the radial nerve	Stimulated by the radial nerve	1	The Triceps Muscle
176	Is stimulated by the axillary nerve	Stimulated by the auxillary nerve	1	The Deltoid Muscle
177	Is stimulated by the radial nerve	Stimulated by the raidal nerve	1	The Triceps Muscle
178	Functions to extend the thigh at the hip	Functions to extend the leg at the hip	0.5	The Gluteus Maximus Muscle
179	Is stimulated by the femoral nerve	Stimulated by the inferior nerve	0	The Quadriceps Muscles
180	Is stimulated by the tibial nerve	Stimulated by the radial nerve	0	The Gastrocnemius Muscle
181	Functions to extend the foot at the ankle	Function to extend the foot at the ankle	1	The Gastrocnemius Muscle
182	Functions to extend the thigh at the hip	Function to extend the thigh at the pelvis	0.5	The Gluteus Maximus Muscle
183	Is stimulated by the femoral nerve	Is stimulated by the tibial nerve	0	The Quadriceps Muscles
184	Is stimulated by the tibial nerve	Stimulated by the radial nerve	0	The Gastrocnemius Muscle
185	Functions to extend the foot at the ankle	Functions to extend the foot at the ankle	1	The Gastrocnemius Muscle
186	Functions to extend the thigh at the hip	Function to extend the thigh at the pelvis	0.5	The Gluteus Maximus Muscle
187	Is stimulated by the femoral nerve	Stimulated by the femoral nerve	1	The Quadriceps Muscles
188	Functions to extend the foot at the ankle	Function to extend the foot at the ankle	1	The Gastrocnemius Muscle
189	Is stimulated by the tibial nerve	Stimulated by the tibial nerve	1	The Gastrocnemius Muscle
190	Functions to extend the thigh at the hip	Function to extend the thigh at the pelvis	0.5	The Gluteus Maximus Muscle
191	Is stimulated by the femoral nerve	Stimulated by the femoral nerve	1	The Quadriceps Muscles
192	Is stimulated by the tibial nerve	Stimulated by the tibial nerve	1	The Gastrocnemius Muscle
193	Is stimulated by the femoral nerve	Stimulated by the femoral nerve	1	The Quadriceps Muscles
194	Is stimulated by the tibial nerve	Stimulated by the tibial nerve	1	The Gastrocnemius Muscle
195	Is stimulated by the axillary nerve	It is stimulated by axillary nerve.	1	The Deltoid Muscle
196	Is stimulated by the radial nerve	It is stimulated by the radial nerves.	1	The Triceps Muscle
197	Is stimulated by the axillary nerve	It is stimulated by the axilliary nerves.	1	The Deltoid Muscle
198	Is stimulated by the radial nerve	It is stimulated by the radial nerves.	1	The Triceps Muscle
199	Is stimulated by the axillary nerve	It is stimulated by the axilliary nerves.	1	The Deltoid Muscle
200	Is stimulated by the radial nerve	It is stimulated by the radial nerves.	1	The Triceps Muscle
201	Functions to extend the thigh at the hip	Allows a connection between the thigh and pelvis	0.5	The Gluteus Maximus Muscle
202	Is stimulated by the femoral nerve	Stimulated by the femoral nerve.	1	The Quadriceps Muscles
203	Functions to extend the foot at the ankle	Allows the flexing of the foot.	0.5	The Gastrocnemius Muscle
204	Is stimulated by the tibial nerve	It is stimulated by the femoral nerves.	0	The Gastrocnemius Muscle
205	Functions to extend the thigh at the hip	Allows for movement of the thigh from the pelvis.	0.5	The Gluteus Maximus Muscle
206	Is stimulated by the femoral nerve	Stimulated by the femoral nerves.	1	The Quadriceps Muscles
207	Is stimulated by the tibial nerve	Stimulated by the tibial nerves.	1	The Gastrocnemius Muscle
208	Functions to extend the foot at the ankle	Allows an extension of the foot from the ankle.	1	The Gastrocnemius Muscle
209	Functions to extend the thigh at the hip	Functions to extend the thigh at the hip.	1	The Gluteus Maximus Muscle
210	Is stimulated by the femoral nerve	Stimulated by the femoral nerves.	1	The Quadriceps Muscles
211	Is stimulated by the tibial nerve	Stimulated by the tibial nerve.	1	The Gastrocnemius Muscle
212	Functions to extend the foot at the ankle	Functions to extend the foot at the ankle.	1	The Gastrocnemius Muscle
213	Functions to extend the thigh at the hip	Functions to extend the thigh at the hip.	1	The Gluteus Maximus Muscle
214	Functions to extend the foot at the ankle	Functions to extend the foot at the ankle.	1	The Gastrocnemius Muscle
215	Is stimulated by the tibial nerve	Stimulated by the tibial nerves.	1	The Gastrocnemius Muscle
216	Functions to extend the thigh at the hip	Functions to extend the thigh at the hip	1	The Gluteus Maximus Muscle
217	Functions to extend the foot at the ankle	Functions to extend the foot at the ankle.	1	The Gastrocnemius Muscle
218	Is stimulated by the axillary nerve	the auxilary nerve	0.5	The Deltoid Muscle
219	Is stimulated by the radial nerve	i don't remember	0	The Triceps Muscle
220	Is stimulated by the axillary nerve	the axillary nerve	0.5	The Deltoid Muscle
221	Is stimulated by the radial nerve	radial nerve	0.5	The Triceps Muscle
222	Is stimulated by the axillary nerve	stimulated by the axillary nerve	1	The Deltoid Muscle
223	Is stimulated by the radial nerve	stimulates the radial nerve	1	The Triceps Muscle
224	Is stimulated by the axillary nerve	stimulated by the axillary nerve	1	The Deltoid Muscle
225	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
226	Is stimulated by the axillary nerve	stimulated by the axillary nerve	1	The Deltoid Muscle
227	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
228	Functions to extend the thigh at the hip	allows the upper thigh to move	0.5	The Gluteus Maximus Muscle
229	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
230	Functions to extend the foot at the ankle	allows to flex at foot	0	The Gastrocnemius Muscle
231	Is stimulated by the tibial nerve	stimulated by tibial nerve	1	The Gastrocnemius Muscle
232	Functions to extend the thigh at the hip	allows thigh to extend at the hip	1	The Gluteus Maximus Muscle
233	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
234	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
235	Functions to extend the foot at the ankle	allows the flex of the foot	0.5	The Gastrocnemius Muscle
236	Functions to extend the thigh at the hip	allows the top of the thigh to move at the side of the pelvis	0.5	The Gluteus Maximus Muscle
237	Is stimulated by the femoral nerve	stimulated by the femoral nerve	1	The Quadriceps Muscles
238	Functions to extend the foot at the ankle	at the back of the lower part of leg	0	The Gastrocnemius Muscle
239	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
240	Functions to extend the thigh at the hip	extends the thigh at the pelvis	0.5	The Gluteus Maximus Muscle
241	Functions to extend the foot at the ankle	allows foot to extend at the ankle	1	The Gastrocnemius Muscle
242	Functions to extend the foot at the ankle	allows the pelvis to move	0	The Gastrocnemius Muscle
243	Functions to extend the foot at the ankle	allows pelvis to move	0	The Gastrocnemius Muscle
244	Is stimulated by the axillary nerve	The deltoid muscle is stimulated by	0	The Deltoid Muscle
245	Is stimulated by the radial nerve	The triceps muscles are stimulated by the nerve	0	The Triceps Muscle
246	Is stimulated by the axillary nerve	stimulated by axillary nerve	1	The Deltoid Muscle
247	Is stimulated by the radial nerve	Stimulated by radial nerves	1	The Triceps Muscle
248	Is stimulated by the axillary nerve	The deltoid muscle is stimulated by the axillary nerves	1	The Deltoid Muscle
249	Is stimulated by the radial nerve	the triceps muscle is stimulated by the radial nerve	1	The Triceps Muscle
250	Is stimulated by the axillary nerve	stimulated by the axillary muscles	0.5	The Deltoid Muscle
251	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
252	Functions to extend the thigh at the hip	functions to extend the thigh	0.5	The Gluteus Maximus Muscle
253	Is stimulated by the femoral nerve	stimulated by the femoral muscles	0.5	The Quadriceps Muscles
254	Functions to extend the foot at the ankle	Functions to extend the lower leg to the ankle	0	The Gastrocnemius Muscle
255	Is stimulated by the tibial nerve	stimulated by the k	0	The Gastrocnemius Muscle
256	Functions to extend the thigh at the hip	Functions to extend the thigh to the hip	1	The Gluteus Maximus Muscle
257	Is stimulated by the femoral nerve	stimulated by femoral nerves	1	The Quadriceps Muscles
258	Is stimulated by the tibial nerve	stimulated by tibial nerves	1	The Gastrocnemius Muscle
259	Functions to extend the foot at the ankle	functions to extend the foot to the ankle	1	The Gastrocnemius Muscle
260	Functions to extend the thigh at the hip	Functions to extend the thigh to the hip	1	The Gluteus Maximus Muscle
261	Is stimulated by the femoral nerve	stimulated by the femoral nerves	1	The Quadriceps Muscles
262	Is stimulated by the tibial nerve	stimulated by the tibial nerves	1	The Gastrocnemius Muscle
263	Functions to extend the foot at the ankle	Functions to extend the foot to ankle	1	The Gastrocnemius Muscle
264	Functions to extend the thigh at the hip	functions to extend the thigh to the hip	1	The Gluteus Maximus Muscle
265	Is stimulated by the femoral nerve	stimulated by the femoral nerves	1	The Quadriceps Muscles
266	Functions to extend the foot at the ankle	Functions to extend the foot to ankle	1	The Gastrocnemius Muscle
267	Is stimulated by the tibial nerve	stiumulated by the tibial nerves	1	The Gastrocnemius Muscle
268	Is stimulated by the axillary nerve	stimulated by the auxillary nerve	1	The Deltoid Muscle
269	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
270	Is stimulated by the axillary nerve	stimulates the auxillary nerve	1	The Deltoid Muscle
271	Is stimulated by the radial nerve	stimulates the radial nerve	1	The Triceps Muscle
272	Is stimulated by the axillary nerve	stimulates the auxillary nerve	1	The Deltoid Muscle
273	Is stimulated by the radial nerve	stimulates the radial nerve	1	The Triceps Muscle
274	Functions to extend the thigh at the hip	to extend the hip at the thigh	0	The Gluteus Maximus Muscle
275	Is stimulated by the femoral nerve	stimulates nerve	0	The Quadriceps Muscles
276	Functions to extend the foot at the ankle	to extend foot	0.5	The Gastrocnemius Muscle
277	Is stimulated by the tibial nerve	stimulates the tibial nerve	1	The Gastrocnemius Muscle
278	Functions to extend the thigh at the hip	to extend thigh at the hip	1	The Gluteus Maximus Muscle
279	Is stimulated by the femoral nerve	stimulates the femoral nerve	0.5	The Quadriceps Muscles
280	Functions to extend the foot at the ankle	extends foot at the ankle	1	The Gastrocnemius Muscle
281	Is stimulated by the tibial nerve	stimulates the tibial nerve	1	The Gastrocnemius Muscle
282	Functions to extend the thigh at the hip	extend thigh at the hip	1	The Gluteus Maximus Muscle
283	Is stimulated by the femoral nerve	stimulates femoral nerve	0.5	The Quadriceps Muscles
284	Functions to extend the foot at the ankle	extend foot at ankle	1	The Gastrocnemius Muscle
285	Is stimulated by the tibial nerve	stimulates tibial nerve	1	The Gastrocnemius Muscle
286	Is stimulated by the femoral nerve	stimulates femoral nerve	0.5	The Quadriceps Muscles
287	Functions to extend the foot at the ankle	extend foot at ankle	1	The Gastrocnemius Muscle
288	Is stimulated by the axillary nerve	stimulated by the axillary nerve	1	The Deltoid Muscle
289	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
290	Is stimulated by the axillary nerve	stimulated by the axillary nerve	1	The Deltoid Muscle
291	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
292	Is stimulated by the axillary nerve	stimulated by the axillary nerve	1	The Deltoid Muscle
293	Is stimulated by the radial nerve	stimulated by the radial nerve	1	The Triceps Muscle
294	Functions to extend the thigh at the hip	functions to extend the thigh at the hip	1	The Gluteus Maximus Muscle
295	Is stimulated by the femoral nerve	stimulated by the femural nerve	1	The Quadriceps Muscles
296	Functions to extend the foot at the ankle	functions to extend the foot at the ankle	1	The Gastrocnemius Muscle
297	Is stimulated by the tibial nerve	stimulated by the temporal nerve	0	The Gastrocnemius Muscle
298	Functions to extend the thigh at the hip	functions to extend the thigh at the hip	1	The Gluteus Maximus Muscle
299	Is stimulated by the femoral nerve	stimulated by the femural nerve	1	The Quadriceps Muscles
300	Functions to extend the foot at the ankle	functions to extend the foot at the ankle	1	The Gastrocnemius Muscle
301	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
302	Functions to extend the thigh at the hip	functions to extend the thigh at the hip	1	The Gluteus Maximus Muscle
303	Is stimulated by the femoral nerve	stimulated by the femural nerve	1	The Quadriceps Muscles
304	Functions to extend the foot at the ankle	functions to extend the foot at the ankle	1	The Gastrocnemius Muscle
305	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
306	Is stimulated by the tibial nerve	stimulated by the tibial nerve	1	The Gastrocnemius Muscle
307	Is stimulated by the axillary nerve	activated by the radial nerve	0	The Deltoid Muscle
308	Is stimulated by the radial nerve	activated by the reflex	0	The Triceps Muscle
309	Is stimulated by the axillary nerve	is stimulated by the axillary nerve	1	The Deltoid Muscle
310	Is stimulated by the radial nerve	is stimmulated by the radial nerve	1	The Triceps Muscle
311	Is stimulated by the axillary nerve	is stimulated by the median and ulnar nerve	0	The Deltoid Muscle
312	Is stimulated by the radial nerve	is stimulated by the radial reflex	0.5	The Triceps Muscle
