id	target	response	score	question
alara95	a fold	I don't know	0	What is the name of a bend in rock layers?
hrhon74	a fold	I don't know	0	What is the name of a bend in rock layers?
howen65	a fold	I don't know	0	What is the name of a bend in rock layers?
bsher79	a fold	I don't know	0	What is the name of a bend in rock layers?
aruss55	a fold	I don't know	0	What is the name of a bend in rock layers?
dmosi93	a fold	plates	0	What is the name of a bend in rock layers?
sevan90	a fold	wethering	0	What is the name of a bend in rock layers?
xande62	a fold	Tsunami	0	What is the name of a bend in rock layers?
cloy77	a fold	I don't know	0	What is the name of a bend in rock layers?
mwilb70	a fold	I don't know	0	What is the name of a bend in rock layers?
kcoll69	a fold	rock wound 	0	What is the name of a bend in rock layers?
wmcne94	a fold	I don't know	0	What is the name of a bend in rock layers?
sbouf97	a fold	archs erosion	0	What is the name of a bend in rock layers?
jflem89	a fold	I don't know	0	What is the name of a bend in rock layers?
egetz07	a fold	I don't know	0	What is the name of a bend in rock layers?
ahayw86	a fold	I don't know	0	What is the name of a bend in rock layers?
bconk64	a fold	I don't know	0	What is the name of a bend in rock layers?
jbrad94	a fold	crust	0	What is the name of a bend in rock layers?
crami87	a fold	I don't know	0	What is the name of a bend in rock layers?
rburg66	a fold	I don't know	0	What is the name of a bend in rock layers?
mbrow71	a fold	I don't know	0	What is the name of a bend in rock layers?
shall79	a fold	I don't know	0	What is the name of a bend in rock layers?
aboer60	a fold	curves	0	What is the name of a bend in rock layers?
lcarn56	a fold	I don't know	0	What is the name of a bend in rock layers?
jblak74	a fold	I don't know	0	What is the name of a bend in rock layers?
kseit94	a fold	I don't know	0	What is the name of a bend in rock layers?
brobi54	a fold	I don't know	0	What is the name of a bend in rock layers?
iguey66	a fold	I don't know	0	What is the name of a bend in rock layers?
ggreg66	a fold	I don't know	0	What is the name of a bend in rock layers?
epete74	a fold	I don't know	0	What is the name of a bend in rock layers?
jbarb51	a fold	sediments	0	What is the name of a bend in rock layers?
eside63	a fold	I don't know	0	What is the name of a bend in rock layers?
jwalt55	a fold	I don't know	0	What is the name of a bend in rock layers?
lpuck85	a fold	I don't know	0	What is the name of a bend in rock layers?
enoer61	a fold	I don't know	0	What is the name of a bend in rock layers?
dmont59	a fold	I don't know	0	What is the name of a bend in rock layers?
eirel61	a fold	I don't know	0	What is the name of a bend in rock layers?
aklem75	a fold	I don't know	0	What is the name of a bend in rock layers?
abarn71	a fold	I don't know	0	What is the name of a bend in rock layers?
hpatt80	a fold	I don't know	0	What is the name of a bend in rock layers?
cmerc92	a fold	I don't know	0	What is the name of a bend in rock layers?
ncasa56	a fold	I don't know	0	What is the name of a bend in rock layers?
cfros55	a fold	I don't know	0	What is the name of a bend in rock layers?
sfran66	a fold	I don't know	0	What is the name of a bend in rock layers?
kshat69	a fold	I don't know	0	What is the name of a bend in rock layers?
mbatt84	a fold	I don't know	0	What is the name of a bend in rock layers?
mgonz82	a fold	I don't know	0	What is the name of a bend in rock layers?
sfros91	a fold	I don't know	0	What is the name of a bend in rock layers?
sogle73	a fold	I don't know	0	What is the name of a bend in rock layers?
tdelu72	a fold	dent	0	What is the name of a bend in rock layers?
lmohr62	a fold	Volcano	0	What is the name of a bend in rock layers?
abeec66	a fold	I don't know	0	What is the name of a bend in rock layers?
mfroo55	a fold	I don't know	0	What is the name of a bend in rock layers?
mumho63	a fold	I don't know	0	What is the name of a bend in rock layers?
ryosh64	a fold	I don't know	0	What is the name of a bend in rock layers?
cpere94	a fold	bedrock	0	What is the name of a bend in rock layers?
jdaug60	a fold	I don't know	0	What is the name of a bend in rock layers?
iflan59	a fold	eroision	0	What is the name of a bend in rock layers?
aprat71	a fold	curve	0	What is the name of a bend in rock layers?
mmorg96	a fold	I don't know	0	What is the name of a bend in rock layers?
lkric66	a fold	I don't know	0	What is the name of a bend in rock layers?
lgurl88	a fold	lova	0	What is the name of a bend in rock layers?
icruz76	a fold	I don't know	0	What is the name of a bend in rock layers?
bbuga71	a fold	bedrock	0	What is the name of a bend in rock layers?
kaoki90	a fold	I don't know	0	What is the name of a bend in rock layers?
ddigr96	a fold	a mountain	0	What is the name of a bend in rock layers?
sfran66	a fold	I don't know	0	What is the name of a bend in rock layers?
cwood92	a fold	I don't know	0	What is the name of a bend in rock layers?
owhit92	a fold	curving?	0	What is the name of a bend in rock layers?
olans59	a fold	I don't know	0	What is the name of a bend in rock layers?
zkazi85	a fold	I don't know	0	What is the name of a bend in rock layers?
idiet54	a fold	I don't know	0	What is the name of a bend in rock layers?
cmoor96	a fold	erosion	0	What is the name of a bend in rock layers?
pobri85	a fold	I don't know	0	What is the name of a bend in rock layers?
mhamm65	a fold	I don't know	0	What is the name of a bend in rock layers?
yelle61	a fold	I don't know	0	What is the name of a bend in rock layers?
wmathi31	a fold	I don't know	0	What is the name of a bend in rock layers?
egu53	a fold	I don't know	0	What is the name of a bend in rock layers?
zyou89	a fold	I don't know	0	What is the name of a bend in rock layers?
abail54	a fold	sediment?	0	What is the name of a bend in rock layers?
aange64	a fold	yo face	0	What is the name of a bend in rock layers?
jselb77	a fold	I don't know	0	What is the name of a bend in rock layers?
agu52	a fold	I don't know	0	What is the name of a bend in rock layers?
rcai50	a fold	I don't know	0	What is the name of a bend in rock layers?
rkunk88	a fold	I don't know	0	What is the name of a bend in rock layers?
rhass95	a fold	I don't know	0	What is the name of a bend in rock layers?
mvemu68	a fold	I don't know	0	What is the name of a bend in rock layers?
bzhan76	a fold	I don't know	0	What is the name of a bend in rock layers?
sye90	a fold	earthquake	0	What is the name of a bend in rock layers?
dzhan71	a fold	I don't know	0	What is the name of a bend in rock layers?
ncasa56	a fold	I don't know	0	What is the name of a bend in rock layers?
mbatt84	a fold	I don't know	0	What is the name of a bend in rock layers?
jdaug60	a fold	I don't know	0	What is the name of a bend in rock layers?
icruz76	a fold	I don't know	0	What is the name of a bend in rock layers?
tdelu72	a fold	dent	0	What is the name of a bend in rock layers?
ddigr96	a fold	mountain	0	What is the name of a bend in rock layers?
kaoki90	a fold	rocker	0	What is the name of a bend in rock layers?
bbuga71	a fold	Mantle	0	What is the name of a bend in rock layers?
mfroo55	a fold	I don't know	0	What is the name of a bend in rock layers?
iflan59	a fold	I don't know	0	What is the name of a bend in rock layers?
cfros55	a fold	fold	1	What is the name of a bend in rock layers?
lkric66	a fold	I don't know	0	What is the name of a bend in rock layers?
abeec66	a fold	fault	0	What is the name of a bend in rock layers?
mgonz82	a fold	frame	0	What is the name of a bend in rock layers?
sfran66	a fold	"mantle"	0	What is the name of a bend in rock layers?
aprat71	a fold	I don't know	0	What is the name of a bend in rock layers?
cmerc92	a fold	I don't know	0	What is the name of a bend in rock layers?
cpere94	a fold	I don't know	0	What is the name of a bend in rock layers?
lmohr62	a fold	I don't know	0	What is the name of a bend in rock layers?
kshat69	a fold	fold	1	What is the name of a bend in rock layers?
cpere94	a fold	I don't know	0	What is the name of a bend in rock layers?
sfros91	a fold	I don't know	0	What is the name of a bend in rock layers?
ryosh64	a fold	I don't know	0	What is the name of a bend in rock layers?
mumho63	a fold	I don't know	0	What is the name of a bend in rock layers?
pmorg94	a fold	I don't know	0	What is the name of a bend in rock layers?
sogle73	a fold	I don't know	0	What is the name of a bend in rock layers?
mmorg96	a fold	I don't know	0	What is the name of a bend in rock layers?
lgurl88	a fold	"i do not remeber"	0	What is the name of a bend in rock layers?
jbrad94	a fold	I don't know	0	What is the name of a bend in rock layers?
mdeli73	a fold	I don't know	0	What is the name of a bend in rock layers?
sevan90	a fold	plate idk how u slpell it?	0	What is the name of a bend in rock layers?
xande62	a fold	a tsunami	0	What is the name of a bend in rock layers?
abegl55	a fold	I don't know	0	What is the name of a bend in rock layers?
mcain54	a fold	I don't know	0	What is the name of a bend in rock layers?
kcoll69	a fold	"mantle"	0	What is the name of a bend in rock layers?
sbouf97	a fold	bend line	0	What is the name of a bend in rock layers?
jflem89	a fold	I don't know	0	What is the name of a bend in rock layers?
alara95	a fold	I don't know	0	What is the name of a bend in rock layers?
ahayw86	a fold	I don't know	0	What is the name of a bend in rock layers?
wmcne94	a fold	I don't know	0	What is the name of a bend in rock layers?
ghays66	a fold	I don't know	0	What is the name of a bend in rock layers?
bmcgr82	a fold	I don't know	0	What is the name of a bend in rock layers?
egetz07	a fold	I don't know	0	What is the name of a bend in rock layers?
cloy77	a fold	I don't know	0	What is the name of a bend in rock layers?
jmorr34	a fold	crust	0	What is the name of a bend in rock layers?
crami87	a fold	I don't know	0	What is the name of a bend in rock layers?
howen65	a fold	I don't know	0	What is the name of a bend in rock layers?
bsher79	a fold	I don't know	0	What is the name of a bend in rock layers?
hrhon74	a fold	I don't know	0	What is the name of a bend in rock layers?
jrey59	a fold	"mountain"	0	What is the name of a bend in rock layers?
dmosi93	a fold	I don't know	0	What is the name of a bend in rock layers?
aruss55	a fold	I don't know	0	What is the name of a bend in rock layers?
mwilb70	a fold	I don't know	0	What is the name of a bend in rock layers?
epete74	a fold	I don't know	0	What is the name of a bend in rock layers?
eirel61	a fold	mantle	0	What is the name of a bend in rock layers?
hpatt80	a fold	I don't know!!!	0	What is the name of a bend in rock layers?
jblak74	a fold	fold	1	What is the name of a bend in rock layers?
kseit94	a fold	"fold"	1	What is the name of a bend in rock layers?
ggreg66	a fold	I don't know	0	What is the name of a bend in rock layers?
enoer61	a fold	montain	0	What is the name of a bend in rock layers?
jwalt55	a fold	I don't know	0	What is the name of a bend in rock layers?
shall79	a fold	I don't know	0	What is the name of a bend in rock layers?
brobi54	a fold	I don't know	0	What is the name of a bend in rock layers?
dmont59	a fold	I don't know	0	What is the name of a bend in rock layers?
shall79	a fold	I don't know	0	What is the name of a bend in rock layers?
aklem75	a fold	fault	0	What is the name of a bend in rock layers?
jbarb51	a fold	I don't know	0	What is the name of a bend in rock layers?
lpuck85	a fold	I don't know	0	What is the name of a bend in rock layers?
cmill63	a fold	bedrock	0	What is the name of a bend in rock layers?
abarn71	a fold	I don't know	0	What is the name of a bend in rock layers?
rburg66	a fold	I don't know	0	What is the name of a bend in rock layers?
lcarn56	a fold	I don't know	0	What is the name of a bend in rock layers?
iguey66	a fold	I don't know	0	What is the name of a bend in rock layers?
aboer60	a fold	mountains	0	What is the name of a bend in rock layers?
mbrow71	a fold	"falt"	0	What is the name of a bend in rock layers?
eside63	a fold	I don't know	0	What is the name of a bend in rock layers?
agu52	a fold	I don't know	0	What is the name of a bend in rock layers?
aange64	a fold	fold	1	What is the name of a bend in rock layers?
pobri85	a fold	A fold	1	What is the name of a bend in rock layers?
bzhan76	a fold	mountain	0	What is the name of a bend in rock layers?
zkazi85	a fold	fault	0	What is the name of a bend in rock layers?
jselb77	a fold	I don't know	0	What is the name of a bend in rock layers?
abail54	a fold	fault	0	What is the name of a bend in rock layers?
dzhan71	a fold	plateau	0	What is the name of a bend in rock layers?
sye90	a fold	slide	0	What is the name of a bend in rock layers?
rhass95	a fold	fault	0	What is the name of a bend in rock layers?
owhit92	a fold	I don't know	0	What is the name of a bend in rock layers?
rcai50	a fold	fault	0	What is the name of a bend in rock layers?
mvemu68	a fold	I don't know	0	What is the name of a bend in rock layers?
egu53	a fold	fault	0	What is the name of a bend in rock layers?
zyou89	a fold	fault	0	What is the name of a bend in rock layers?
cwood92	a fold	I don't know	0	What is the name of a bend in rock layers?
rkunk88	a fold	"mountain"	0	What is the name of a bend in rock layers?
mhamm65	a fold	I don't know	0	What is the name of a bend in rock layers?
idiet54	a fold	fold	1	What is the name of a bend in rock layers?
cmoor96	a fold	I don't know	0	What is the name of a bend in rock layers?
wmathi31	a fold	I don't know	0	What is the name of a bend in rock layers?
yelle61	a fold	fold	1	What is the name of a bend in rock layers?
olans59	a fold	fold	1	What is the name of a bend in rock layers?
cmcmi27	a fold	I don't know	0	What is the name of a bend in rock layers?
mdeli73	the mantle	I don't know	0	What is the layer that lies beneath the crust?
crami87	the mantle	core	0	What is the layer that lies beneath the crust?
howen65	the mantle	I don't know	0	What is the layer that lies beneath the crust?
abegl55	the mantle	core	0	What is the layer that lies beneath the crust?
ghays66	the mantle	I don't know	0	What is the layer that lies beneath the crust?
spark85	the mantle	I don't know	0	What is the layer that lies beneath the crust?
xande62	the mantle	I don't know	0	What is the layer that lies beneath the crust?
wmcne94	the mantle	I don't know	0	What is the layer that lies beneath the crust?
sbouf97	the mantle	I don't know	0	What is the layer that lies beneath the crust?
jrey59	the mantle	I don't know	0	What is the layer that lies beneath the crust?
jmorr34	the mantle	I don't know	0	What is the layer that lies beneath the crust?
mcain54	the mantle	I don't know	0	What is the layer that lies beneath the crust?
alara95	the mantle	I don't know	0	What is the layer that lies beneath the crust?
hrhon74	the mantle	I don't know	0	What is the layer that lies beneath the crust?
